"Family","PC1","PC2","PC3","PC4","Pop","Tree","State","Region","Date","Latitude","Longitude","Elevation","DBH","Budbreak_2020","BudSet_2019","BudSet_2020","Growth","BudBreak_cGDD_plasticity","BudSet_2019_plasticity","BudSet_2020_plasticity","Growth_plasticity","TotalDry_plasticity","RootShoot_plasticity","SideBranch_MainStem_plasticity","Delta13Carbon_plasticity","Delta15Nitrogen_plasticity","PercentN_plasticity","CN_ratio_plasticity","TotalDry","RootShoot","SideBranch_MainStem","delta13C","delta15N","percentN","CN_ratio","q1","q2"
"BRU_02",0.0234775821156897,-0.221327360574599,-0.0312973244451124,0.0230158656812705,"BRU",2,"PA","Margin",9112017,41.35133,75.17426,539,18.2,638.1589025,263.0571104,213.8094208,35.26056086,21.40116188,1.421123426,6.144411062,0.556332445,1.666607316,0.004876699,0.104825336,0.022730427,0.667973461,0.036161009,0.109040802,33.16320563,-1.608170275,0.707643627,-30.68091635,2.666968196,1.57055564,32.97684515,0.4346521,0.5653479
"BRU_03",-0.00132104040217935,-0.186273486273737,0.0379094896215512,0.0355944980422726,"BRU",3,"PA","Margin",9112017,41.34784,75.20009,551,44.5,632.6352991,261.594861,211.5579448,29.36172612,20.37698156,4.344688783,6.094209753,0.984805984,2.012863445,0.010519385,0.128147275,0.025687368,0.828259503,0.036455981,0.054195468,36.9966734,-1.582121663,0.806487776,-30.7331181,2.267316322,1.551171051,31.50306073,0.631585,0.368415
"BRU_04",0.00642130443283527,-0.185570005756153,-0.0125597404644921,-0.00255223729182451,"BRU",4,"PA","Margin",9112017,41.3456,75.20216,559,14,649.1664796,248.022356,210.0304175,40.09406616,25.61923475,3.431353538,6.062677731,0.318213826,3.822462539,0.010685458,0.107859961,0.029465522,0.627156289,0.044914877,0.019911993,62.80692291,-1.541543738,0.753421374,-30.57816832,2.864018121,1.624643057,30.52244648,0.6238123,0.3761877
"BRU_05",-0.012566773495544,-0.148221222098913,-0.00783586459181411,-0.00126247868871979,"BRU",5,"PA","Margin",9152017,41.34357,75.20504,570,38,655.6163584,250.9695887,209.1754143,33.23252747,23.72224455,4.448928829,6.327441841,0.724713868,2.198076087,0.005289431,0.125994567,0.016556206,0.811680874,0.045399903,0.026134451,39.23640651,-1.601012644,0.812103017,-30.73705474,2.396229237,1.626518978,30.74525401,0.7142981,0.2857019
"BRU_06",-0.0134578526748216,-0.159376337638774,-0.0187374503772034,-0.00104930185390531,"BRU",6,"PA","Margin",9152017,41.34406,75.20509,570,10,667.5261943,248.7610822,211.079369,35.41151161,31.31460237,3.733594185,6.468451021,0.58135761,4.733655211,0.011392685,0.144510139,0.101841445,0.692552085,0.033514648,0.143763652,74.6477662,-1.56627813,0.877902298,-30.75901583,2.614517237,1.535409269,33.93904558,0.6874238,0.3125762
"CAM_01",0.0506865405371732,0.012508162267738,0.0269000445672363,-0.0119626969909696,"CAM",1,"VT","Core",10112017,44.30394,72.91039,538,31.5,660.6379434,254.4698628,207.3671815,30.27446022,27.89846883,4.318939812,5.781134813,0.889223018,1.046468378,0.009470223,0.167096744,0.097312352,0.807179588,0.051660924,0.008075293,22.20840493,-1.654721252,0.890804434,-31.01543348,2.399321621,1.690382638,30.20023153,0.911974,0.088026
"CAM_02",0.0517495157737484,0.0609883160353841,-0.0541657445040663,0.00487258511644622,"CAM",2,"VT","Core",10112017,44.31687,72.90208,808,64.6,619.7432351,263.6775527,215.3187122,27.35065365,14.05708407,1.972279596,6.147601394,1.050568932,0.489792241,0.002570906,0.129917662,0.085544453,0.734154972,0.045802527,0.011510094,14.53181575,-1.60262907,0.817733241,-31.15700497,2.378379413,1.631771698,30.32950854,0.9879029,0.012097
"CAM_03",0.0442732098985727,0.00401248333737585,-0.00772062946091507,0.00240854887671349,"CAM",3,"VT","Core",10112017,44.32212,72.88999,1102,21.1,657.834799,247.1612084,208.9214166,25.32228984,26.6698599,1.893732715,6.068064362,1.19324655,0.869534594,0.001289899,0.147081991,0.073127739,0.756544454,0.06028506,0.033882514,19.33094883,-1.662647294,0.863470268,-31.03913097,2.377643336,1.744841706,29.09478441,0.8915942,0.1084058
"CAM_04",0.0651407738822185,0.0177067984052813,-0.0717429868988984,-0.0538662212158467,"CAM",4,"VT","Core",10112017,44.3215,72.89375,999,34.2,656.6701755,240.8558234,206.1761953,25.97589891,28.22069635,2.204626015,5.668762605,1.138617613,0.7625509,0.012580642,0.13944346,0.16309743,0.670355751,0.05020885,0.016699759,18.22533665,-1.587985101,0.798165444,-31.40319209,2.715417652,1.656789158,30.52669989,0.9323533,0.0676467
"CAM_05",0.0613275581852208,0.0385722815103755,-0.0181051202940899,0.00498426707293873,"CAM",5,"VT","Core",10112017,44.32146,72.89611,927,18.6,659.7530004,248.4487176,207.9934492,24.48315757,26.04235341,3.132857455,5.559965411,1.25842068,0.883536825,0.002388455,0.150270573,0.034719702,0.737641029,0.048121599,0.016163323,19.41449101,-1.624265077,0.888461953,-30.87277146,2.516962935,1.636360378,30.4379166,0.9519495,0.0480505
"CAM_06",0.0435382422306664,0.0655660380122106,-0.190138713120721,-0.0747199418289876,"CAM",6,"VT","Core",10112017,44.32074,72.89718,909,25.6,672.7608395,250.784452,208.3071399,27.93298576,33.18262841,4.443030425,6.08500877,1.05452727,1.574685435,0.001651621,0.137951647,0.061861764,0.680491952,0.030169026,0.096712406,29.42848189,-1.603962396,0.848121392,-30.92808596,2.620509655,1.493406501,32.68758077,0.9998085,0.0001915
"CR_03",-0.0652378911166737,0.0271548402466296,0.0214656203057998,0.0012334101313333,"CR",3,"NC","Edge",9002016,35.748862,82.272246,1819,37.3,663.6024112,270.92404,215.7605315,32.87384138,29.12950523,3.195267546,6.449815041,0.757161068,1.37343934,0.006781103,0.142006025,0.107168143,0.693836497,0.031533663,0.101166397,25.77611586,-1.609880315,0.870261584,-31.00817452,2.498519826,1.510724982,32.84798668,0.9992083,0.0007917
"CR_04",-0.083463394225404,0.0258026631996149,-0.0226402512290633,-0.00284650914535961,"CR",4,"NC","Edge",9002016,35.750184,82.270068,1811,42.8,666.4601494,264.5301823,213.2843308,31.95462915,29.04834511,2.809445552,6.11324568,0.799930481,1.292282414,0.000348873,0.137236442,0.000596726,0.744336042,0.02757807,0.133195225,24.8070231,-1.661024959,0.841423166,-30.82902214,2.493295139,1.487572745,33.66151746,0.9998063,0.0001937
"CR_05",-0.0859073219961578,0.0285473182610767,-0.0344038867356213,-0.00611385280211485,"CR",5,"NC","Edge",9002016,35.75331,82.270147,1792,31.9,676.5434241,266.1230051,216.1288688,29.77892987,34.54711034,3.032498052,6.175681499,0.916046452,1.156062489,0.008718383,0.132492389,0.047536735,0.780012311,0.022803355,0.162318711,23.38791281,-1.597145435,0.814392597,-30.90817904,2.439071353,1.435062011,34.56884762,0.999808,0.0001921
"CR_06",-0.0746486780124441,0.0274997111962456,0.0184182436283268,0.0106824205406626,"CR",6,"NC","Edge",9002016,35.755691,82.269877,1776,39.3,673.8052847,256.8727666,210.4812369,26.20771331,35.18372117,3.551928282,5.699803604,1.143296915,1.113707202,0.004193732,0.148655574,0.046160011,0.726866237,0.034941479,0.074054903,23.32033263,-1.638910967,0.873571522,-30.91667557,2.558543231,1.545015759,32.00269115,0.9998,2e-04
"CR_07",-0.069491874091859,0.0207748860809122,0.0380384148636393,0.00544430065981726,"CR",7,"NC","Edge",9002016,35.758106,82.267885,1763,27.9,683.1366963,258.1877356,209.5068873,26.9682033,35.32830677,2.779191834,5.279890816,1.097223262,0.798789317,0.002711521,0.151891854,0.101335368,0.657124419,0.030689098,0.082302512,18.4673514,-1.6732898,0.89903473,-31.12401539,2.746132285,1.503131934,32.27393339,0.993621,0.006379
"CRA_01",-0.0779572358087174,0.0244026816317035,-0.0404186472989657,0.00193628210419806,"CRA",1,"WV","Edge",9272017,38.1888,80.27092,1072,57.3,678.2614599,260.5719153,203.283676,29.24378937,33.40487119,4.376783055,4.84316386,0.949993789,1.008403886,0.010621621,0.12706345,0.053817218,0.733272216,0.038283189,0.062582833,21.68211689,-1.600055089,0.808706719,-30.94741279,2.614237639,1.55891072,31.79454661,0.999543,0.000457
"CRA_02",-0.0644515945801276,0.0153558861832518,0.0186724102301299,0.0115895327739185,"CRA",2,"WV","Edge",9272017,38.19923,80.27311,1026,8.9,660.7942134,261.701238,216.0589927,31.94593073,28.89211083,1.899486075,5.904637956,0.757940933,1.003063437,0.007212092,0.166945258,0.034277734,0.823975516,0.044060271,0.045969056,22.68651157,-1.606314706,0.935638891,-30.76639852,2.310826607,1.611970476,31.30148399,0.9952414,0.0047586
"CRA_03",-0.0704605825180934,0.0205432951927878,-0.0416782616207467,-0.025285447304876,"CRA",3,"WV","Edge",9272017,38.19989,80.27286,1023,15,662.1688198,265.042151,214.0389109,28.59758347,32.15550618,3.649758894,5.75373728,0.967578539,0.531400481,0.01279134,0.157745101,0.01983057,0.791482568,0.040095452,0.055799324,15.56944328,-1.621582373,0.870293338,-30.94479556,2.35693053,1.564222865,31.69043611,0.9989535,0.0010466
"CRA_04",-0.0706950014661961,0.0122361315849309,-0.0228336086291093,0.00778303698375102,"CRA",4,"WV","Edge",9272017,38.20064,80.27233,1023,12.6,683.9797186,249.7017454,207.6067632,32.52596749,34.42098025,3.156843407,5.627773187,0.746332146,1.523465545,0.007229069,0.131178206,0.029107651,0.634830665,0.030683824,0.100601835,28.52190409,-1.623092539,0.826708119,-30.73378721,2.771140765,1.495370384,32.8655649,0.9916402,0.0083598
"CRA_05",-0.0722639283653785,0.0293265803836865,-0.0417864210019801,-0.00591417880232972,"CRA",5,"WV","Edge",9272017,38.20126,80.27228,1021,8.6,689.3865392,256.3582341,210.8687207,34.80820445,37.09125377,3.365807427,5.955605983,0.593895921,1.332410739,0.013910895,0.126708356,0.060343979,0.68842763,0.03635289,0.079656018,26.96876883,-1.575670122,0.7959308,-30.95090879,2.637957664,1.539272417,32.27565576,0.9997997,0.0002003
"CRA_06",-0.0752909937987868,0.0257823201975654,-0.0381858175764446,0.00257995039725718,"CRA",6,"WV","Edge",9272017,38.19853,80.27083,1026,45.8,672.6817335,254.8485388,207.2401263,30.74567817,31.4059343,4.648844778,5.805476469,0.856226079,1.082146579,0.008460953,0.135280494,0.035058269,0.697657367,0.040225476,0.047503326,24.36317119,-1.60559253,0.838962668,-31.01290635,2.596596383,1.58757285,31.35754712,0.9997823,0.0002177
"CRR_01",-0.0340229123832288,-0.0125773947534575,-0.0219882185371349,0.0233585891090138,"CRR",1,"PA","Margin",9122017,41.37048,76.26347,674,18.2,671.9680194,253.701869,208.2322148,31.16062162,29.11297273,3.319012039,5.781865164,0.826600244,1.904362229,0.011165652,0.133827709,0.09336605,0.715634321,0.025199014,0.147145763,34.53892319,-1.556443728,0.843558169,-30.53908853,2.658341752,1.462632187,34.04109893,0.9221286,0.0778714
"CRR_02",-0.00864640683003391,-0.01180385836472,0.0273260261378127,0.00832640267969155,"CRR",2,"PA","Margin",9122017,41.37093,76.26328,668,21.9,645.3414439,251.9137747,214.0909347,32.26943174,24.47117738,4.289848165,6.250655998,0.771705466,0.499652873,0.024830112,0.115779867,0.05312064,0.640956061,0.054173412,0.008836526,14.9412521,-1.548464134,0.740609092,-30.97969181,2.804132371,1.68581949,29.83410112,0.9153877,0.0846122
"DG_04",-0.0765657877846842,0.0339267585810171,-0.0797266924088232,0.0424745017602288,"DG",4,"NC","Edge",9002016,35.78115,82.2597,1955,40.1,653.5393546,260.5123414,215.6170987,29.32234333,26.48334593,2.475779328,5.799497552,0.935889731,0.946370487,0.002327764,0.140298741,0.102421582,0.737667327,0.038842642,0.071767446,20.93001539,-1.665588233,0.844186891,-31.09623012,2.556589705,1.56287933,32.05924791,0.9997951,0.0002049
"DG_05",-0.0740928428160884,0.0224913103538331,0.00916229159829725,0.0138765448698832,"DG",5,"NC","Edge",9002016,35.78197,82.25905,1915,44.5,684.2030328,265.2180509,207.2884119,32.74693387,36.46242806,2.308404659,5.539814935,0.729416131,1.110368907,0.007613498,0.12828585,0.127481976,0.871487455,0.03401539,0.071100831,22.81161367,-1.626787156,0.766293555,-31.13868441,2.260443933,1.540723034,31.9141473,0.9964132,0.0035868
"DG_06",-0.0847387364512781,0.0323693007247964,-0.0201982704914488,-0.00214622198024087,"DG",6,"NC","Edge",9002016,35.78233,82.25908,1908,45.6,679.6027269,266.6890799,216.4938216,33.27172904,35.97147448,3.377183482,5.992387976,0.711128014,1.321394616,0.001832517,0.130877358,0.107569943,0.842035023,0.040395213,0.050854286,26.62504543,-1.621124115,0.822829118,-31.16823112,2.215965203,1.56456287,31.53056592,0.9998069,0.0001931
"DG_08",-0.0813437154453681,0.0262130459968663,-0.0915641378615678,0.0267440813051492,"DG",8,"NC","Edge",9002016,35.78377,82.25858,1897,28.1,656.5247051,262.9780366,211.1941144,29.11384137,26.71785069,3.070194829,5.908752951,0.977289171,0.497724721,0.010854466,0.13065096,0.121537919,0.821309387,0.034069157,0.077379259,14.23597851,-1.618371726,0.785358761,-31.06295386,2.298534505,1.532570055,32.14296956,0.9998,2e-04
"DG_10",-0.0703398009783389,0.0180930116866757,0.0120319625227101,0.00770425328215029,"DG",10,"NC","Edge",9002016,35.786327,82.25755,1922,55.4,664.5886624,266.7289052,208.2157163,26.09163757,28.57557234,3.067349316,5.14843521,1.160627252,0.942575625,0.102532834,0.151586546,0.002827777,0.719957948,0.032177891,0.087530394,21.96630984,-1.522115264,0.877601692,-30.88332914,2.668355049,1.517836469,32.41418967,0.994092,0.005908
"EQU_01",0.0422206016879613,0.0442701619417136,0.0549326302048467,0.0195740663238069,"EQU",1,"VT","Core",9212017,43.13636,73.13577,608,40.3,659.2080325,253.7521948,206.2416556,27.78777599,25.76028836,3.667870951,5.156375608,1.048538902,1.05124323,0.00180094,0.14926892,0.027222885,0.734937676,0.048254303,0.012093536,22.45779689,-1.630330082,0.861358189,-30.83654464,2.574476115,1.65081498,30.34198387,0.9712222,0.0287778
"EQU_02",0.0254213973428698,0.0166538839981708,0.0571763171709041,0.0338193824482306,"EQU",2,"VT","Core",9212017,43.14051,73.14051,701,35.1,645.9434668,256.8075064,213.7209502,27.60397824,21.04365837,2.740516499,6.538604933,1.042383694,0.997959088,0.001650526,0.166783229,0.099974931,0.828507327,0.038742199,0.055305248,22.27806174,-1.633365982,0.924355631,-31.03824599,2.376561464,1.590134786,31.4603809,0.9248933,0.0751067
"EQU_03",0.0476608840075366,0.012174115569894,-0.00204664702620015,0.010583945490753,"EQU",3,"VT","Core",9212017,43.14039,73.13477,744,27.2,662.2354985,252.609717,205.384641,29.86839784,29.8618517,4.00824958,5.452422696,0.923275305,0.850947947,0.010361525,0.113396355,0.053997203,0.790764267,0.025695427,0.115779903,19.24928436,-1.604686592,0.724718869,-31.03637973,2.330615686,1.450089329,33.23120207,0.9096597,0.0903403
"EQU_04",0.0407226925940106,0.0212349692898246,0.0665010202743856,0.0180957994615064,"EQU",4,"VT","Core",9212017,43.15425,73.12742,975,26.3,665.633546,250.360956,217.0733779,30.0672015,28.06054694,3.261195751,5.785098342,0.895808598,1.493072159,0.006053926,0.131029113,0.032671857,0.678897193,0.04401,0.051127996,29.27002669,-1.599414007,0.798681658,-30.86256881,2.785692216,1.613896887,31.44529095,0.9616913,0.0383087
"EQU_05",0.0590263539655846,-0.00243914607858639,0.0254619159720481,0.0124667694472216,"EQU",5,"VT","Core",9212017,43.15975,73.1255,1023,23.3,657.4628446,234.1379401,207.2685212,25.56512398,25.56952623,2.88688834,5.759770441,1.173352002,1.176000922,0.005224481,0.145236345,0.075631968,0.661369945,0.041006808,0.051415752,24.40347465,-1.65273881,0.895167342,-30.93248889,2.65735965,1.59828565,31.44504969,0.906738,0.093262
"EQU_06",0.0496935324414273,0.0462521784993157,0.00197439221691577,-0.00966624729802523,"EQU",6,"VT","Core",9212017,43.1619,73.12386,1063,22.6,662.1220989,245.4814647,212.4725728,26.71568235,32.25688657,3.274737855,5.936548806,1.110344967,0.622894816,0.013686553,0.140658453,0.056661869,0.733748173,0.042570571,0.026385526,15.64971383,-1.594194505,0.822549784,-30.95270219,2.441456135,1.605469844,30.73017304,0.9681058,0.0318942
"ESC_01",0.0558995010959378,0.0676803582966119,-0.0025215153455318,0.00286125553873667,"ESC",1,"NY","Core",9052017,42.19985,74.03118,678,37,645.3221979,252.2902156,207.8534281,30.05325568,22.39463116,2.85123688,5.197816764,0.896235397,1.15870109,0.008773914,0.115296346,0.046500189,0.657069037,0.037763228,0.048285617,24.06041717,-1.620404909,0.741588933,-30.93586561,2.780142833,1.566533752,31.31172668,0.9922335,0.0077665
"ESC_02",0.0292217386678926,0.00527112237211372,-0.000257250110166989,0.00558947522328105,"ESC",2,"NY","Core",9052017,42.20077,74.03092,685,32.5,659.9265549,262.1717891,211.3990624,32.08148187,28.0332016,2.951071679,5.763317039,0.768782924,1.559815145,0.010517812,0.150364713,0.135081675,0.689457821,0.031499393,0.08848705,29.79903602,-1.62516122,0.881190221,-31.18474525,2.597807404,1.501647667,32.48544748,0.923313,0.076687
"ESC_03",0.0422360587778614,0.0523600615541828,-0.013911578948601,0.00309682140294697,"ESC",3,"NY","Core",9052017,42.20205,74.02971,694,38.2,646.7245912,253.7240027,212.1532631,26.63109344,20.88207428,2.722072306,6.176097632,1.106186285,0.547793746,0.005269223,0.129966176,0.136624147,0.762173958,0.035353377,0.075743824,15.21348607,-1.604088233,0.801914564,-31.17042789,2.53643133,1.55016043,32.0679538,0.9762803,0.0237196
"ESC_04",0.0336308270585884,0.0724089815383843,0.0644295533082399,0.0290575316777788,"ESC",4,"NY","Core",9052017,42.20549,74.03112,730,28.6,640.2529467,266.6826263,216.7519226,28.02981786,17.91847329,2.44525921,6.044073732,1.012856204,0.80377167,0.010239269,0.161308998,0.103916248,0.686370094,0.051234678,0.050755877,19.1621363,-1.613637296,0.898697948,-30.67771445,2.610958518,1.661258014,31.49098094,0.9997931,0.0002069
"ESC_05",0.0447022130806498,0.0580076575196016,0.0318570959518663,-0.0047312751307101,"ESC",5,"NY","Core",9052017,42.21354,74.03379,792,23.6,652.6892407,243.9201145,212.6612841,28.17983178,24.65515633,4.108240868,6.482660952,1.040862467,1.045239689,0.001990115,0.151480812,0.086283639,0.627319272,0.028676957,0.110619453,22.24116791,-1.629682306,0.921874559,-30.95857883,2.799773987,1.481622712,33.07702027,0.9673358,0.0326643
"ESC_06",0.0264108253125056,0.0132464893243779,-0.0344570795418642,-0.0139874048660784,"ESC",6,"NY","Core",9052017,42.21471,74.03587,829,6,654.2289292,261.7482931,210.3618167,25.31693919,23.49658545,2.346206506,5.485848133,1.194384772,0.36538331,0.000879582,0.155953598,0.082760484,0.664638487,0.043742992,0.031272312,12.02859158,-1.618845274,0.906209531,-31.07723481,2.583513872,1.614368534,30.82796729,0.9198098,0.0801902
"G13_01",-0.0261978502740284,-0.0369099506747826,0.0710782385885818,0.0178210388068695,"G13",1,"PA","Margin",9122017,41.41342,76.29673,641,68,684.4112847,264.2947223,212.7463044,29.52419138,33.91945519,3.42426538,6.278439617,0.962165071,1.100001174,0.010477315,0.137589072,0.13732275,0.698538119,0.035702116,0.081898946,22.54177025,-1.625031923,0.830040119,-31.22147909,2.72089972,1.516978978,32.36934912,0.8987762,0.1012238
"G13_02",-0.00238888082421269,-0.034178098355046,-0.0157851167592198,0.0168708276647835,"G13",2,"PA","Margin",9122017,41.41315,76.29758,639,41.2,676.1610818,256.1487348,214.241174,30.461914,31.47211545,4.170430901,6.310300219,0.903163621,1.522553718,0.012054583,0.143361985,0.03227131,0.682974033,0.042106983,0.038710421,30.07799271,-1.593328922,0.875116518,-30.8316502,2.599678703,1.612756651,31.01801015,0.8833356,0.1166644
"G13_03",-0.00138687182767791,-0.0119253065486568,0.120213318891739,0.0190167049903345,"G13",3,"PA","Margin",9122017,41.41275,76.29931,634,40.3,680.6250281,268.7595048,212.7277215,35.75649443,34.26224614,2.89274218,6.131371814,0.552593133,1.030449187,0.014020319,0.131300864,0.04375674,0.720215237,0.044615787,0.046796699,21.6354867,-1.569543293,0.817527977,-30.90322285,2.56601918,1.61317916,31.34118507,0.9456643,0.0543357
"G13_04",0.0081265915080486,-0.032981529633183,0.034680240376995,0.01104715021095,"G13",4,"PA","Margin",9122017,41.41232,76.29998,637,37.5,663.7088864,260.854246,211.1415534,32.73350939,26.65941258,4.367901207,5.880031256,0.746843016,0.818696611,0.018710634,0.116335352,0.030226331,0.778913331,0.053912285,0.017194755,19.00159156,-1.53318548,0.77028787,-31.00619248,2.494679915,1.697368064,29.5226035,0.9007091,0.0992909
"G13_05",-0.024983884364453,-0.0180452054486724,-0.0145766254886867,0.000443401700998878,"G13",5,"PA","Margin",9122017,41.41286,76.2958,640,18.2,675.8971041,263.0582004,210.9120969,32.824784,33.06716029,3.756363288,6.244783656,0.727710788,1.26780728,0.010886585,0.16003927,0.059752149,0.800239015,0.022309337,0.158960634,25.23203125,-1.578655438,0.892043596,-30.99316507,2.361183881,1.42219459,34.50645461,0.9260772,0.0739228
"G18_01",-0.0379036281052116,-0.0780814209516391,-0.0571834981265885,-0.0203524614627435,"G18",1,"PA","Margin",9132017,41.09564,75.4884,538,NA,681.5287146,251.5401707,217.4480034,38.31777476,33.75732995,2.377510349,5.879442061,0.390283073,3.676058532,0.010027069,0.136312559,0.020729474,0.730248258,0.041928131,0.064864336,60.20084628,-1.574742247,0.869133474,-30.81257688,2.542024266,1.578161007,31.93357258,0.8261329,0.1738671
"G18_02",-0.0441567270140074,-0.0518179608707427,-0.06795102711444,-0.0135255543128844,"G18",2,"PA","Margin",9132017,41.09326,75.49049,552,NA,677.9973098,271.3852989,215.3651236,32.71467615,34.59142796,2.435534689,6.453596333,0.770099313,1.941344059,0.009396813,0.124786554,0.04738141,0.833940753,0.027449012,0.110086086,34.59197937,-1.601003707,0.796662655,-30.93454718,2.31721097,1.477424367,33.04392216,0.8947234,0.1052766
"G18_03",-0.0362394800230156,-0.0772553495615215,-0.0105772766585512,-0.015107452949825,"G18",3,"PA","Margin",9132017,41.09363,75.48915,560,NA,674.0148021,260.9528118,213.8060966,38.0562338,32.95272264,2.11089288,6.581492876,0.428489144,1.772356013,0.003701897,0.114457444,0.065718882,0.700011666,0.033984984,0.100605891,31.8602138,-1.591217143,0.73014649,-30.90032844,2.677216119,1.526217143,32.85144809,0.839605,0.160395
"G57_01",-0.0250872353300436,-0.0195844191701094,0.00482204596137316,-0.00328840733288394,"G57",1,"PA","Margin",9122017,41.38781,76.25086,644,28,662.3201291,252.1490503,217.7102413,40.18279941,30.28912424,3.828655548,6.220455146,0.262362668,2.288161241,0.00518841,0.139580386,0.048484763,0.733690353,0.035781346,0.086240628,40.57075149,-1.615401061,0.855717734,-30.94051619,2.539287444,1.549415081,32.42366828,0.8792627,0.1207373
"G57_02",-0.0406865704741689,-0.0343526924318314,0.00482178511093352,-0.00336046992440151,"G57",2,"PA","Margin",9122017,41.38786,76.24996,644,28.2,672.1911365,264.0921956,212.090858,37.94114407,31.51047426,3.109812028,6.499612209,0.461706294,1.821431496,0.003034455,0.129892728,0.051015094,0.734398725,0.044604066,0.048825638,33.80298939,-1.617708179,0.808851617,-30.60228093,2.474972681,1.649647492,31.3031776,0.8994577,0.1005423
"G57_03",0.000350104523679218,-0.0117496262127054,0.0708476549001866,0.019510290659518,"G57",3,"PA","Margin",9122017,41.39196,76.24501,635,22.4,644.8015914,267.2066861,206.2466994,35.09972941,17.53089942,3.201352642,5.6958457,0.589989933,1.930944028,0.005023353,0.130367509,0.086396016,0.678484074,0.029894415,0.118367163,34.73370413,-1.611518766,0.794606394,-30.5125081,2.689834743,1.516254376,33.25567426,0.9236824,0.0763176
"G57_04",-0.0259620599117175,0.0030923425966724,-0.05817923892599,-0.0185640294627026,"G57",4,"PA","Margin",9122017,41.38787,76.25036,655,25.6,657.5141359,253.1133146,211.079369,36.99609371,24.58904393,4.626448385,6.45204537,0.517835577,3.275725713,0.008195625,0.13125666,0.026518147,0.735917098,0.025525547,0.134108963,52.38543298,-1.603849277,0.824403698,-30.83975154,2.618316296,1.453309752,33.78810987,0.9225647,0.0774353
"G57_05",-0.0281945306835465,-0.029869792018155,0.0117030123338544,0.017421906189122,"G57",5,"PA","Margin",9122017,41.3885,76.27803,646,63.7,660.7964542,265.8420879,215.5825923,34.07298796,28.46587298,3.036376694,5.849243808,0.641788141,0.987668259,0.000172279,0.125461309,0.033822719,0.652619546,0.032354333,0.109760128,23.24985187,-1.658741757,0.804355871,-31.00054032,2.761914012,1.517433893,33.08896994,0.9010457,0.0989543
"G57_06",-0.039731851351386,-0.0404205822507,-0.00332006674048207,0.00432209338862086,"G57",6,"PA","Margin",9122017,41.39518,76.24475,632,17.7,675.8284718,250.6255378,207.5204263,31.14892729,33.1885689,4.138721334,5.925459313,0.822211189,1.525942114,0.006086628,0.125025305,0.125892082,0.615693091,0.036063504,0.095133019,29.52673689,-1.618872168,0.796732927,-31.06047738,2.857933143,1.541491748,32.71469389,0.8960661,0.1039338
"G57_07",-0.0372698429849026,-0.0106879129154489,0.0156832909367868,-0.00300165439707874,"G57",7,"PA","Margin",9062017,41.41808,76.16374,647,25.4,674.6454244,263.1187133,212.2032457,32.35471854,32.34697403,3.371935954,5.526108351,0.742530588,1.031887892,0.009114254,0.14178954,0.111242132,0.716994609,0.042834104,0.035743439,23.07660552,-1.601666273,0.873502167,-31.08668797,2.55288169,1.628414441,30.93635338,0.9439138,0.0560862
"G57_08",-0.0427219144840402,-0.0457567809649303,0.224525390839306,-0.923216448178867,"G57",8,"PA","Margin",9062017,41.41875,76.16496,652,45.7,653.0713189,263.0219083,218.9083787,37.86529976,24.56118698,1.961287583,5.55701978,0.395488895,1.434216429,0.003055189,0.134434363,0.034882144,0.72249922,0.030421498,0.089071449,27.94743902,-1.638390082,0.833463495,-30.70145136,2.511405458,1.495894954,32.53637464,0.8916391,0.1083609
"G57_09",-0.0587964683399165,-0.0189031805669012,0.0137055553681165,-0.0115772577154246,"G57",9,"PA","Margin",9062017,41.41903,76.16552,652,30.7,676.7381088,262.4786677,217.5446784,40.39789494,33.67380584,4.235455079,6.337347562,0.309383167,3.661282722,0.001820597,0.145685118,0.034373718,0.72601665,0.036680205,0.102093602,61.90691658,-1.619407716,0.884236324,-30.62438928,2.519434504,1.540888638,32.92204624,0.930423,0.069577
"G57_10",-0.0374693229263049,-0.0406972856937703,-0.00399016143199983,-0.015177270204729,"G57",10,"PA","Margin",9062017,41.41903,76.16604,652,25.9,665.1118553,251.1138378,208.100759,32.10232685,28.5718148,4.459271688,5.855121314,0.784926977,1.823440301,0.004701327,0.139552537,0.06223091,0.699660129,0.045764257,0.038836768,33.28614181,-1.643525907,0.840533138,-30.97672341,2.635222348,1.625575481,31.12875205,0.896198,0.103802
"G57_11",-0.0380630232362308,-0.0317885182735342,-0.00556511942641071,-0.0168631552239679,"G57",11,"PA","Margin",9062017,41.41982,76.16662,652,33,682.7494471,252.9489872,220.2691219,35.74102839,31.19927009,3.919733253,5.863521311,0.567781596,2.593065594,0.006215022,0.126649489,0.056578787,0.63934879,0.025616708,0.127531972,44.93849529,-1.599110022,0.802502025,-30.76608008,2.679262267,1.465537355,33.52568794,0.895579,0.104421
"GFM_48",-0.0717431574817307,0.0150046223842164,0.32328792100073,0.0082900627285076,"GFM",48,"NC","Edge",NA,36.0898,81.8383,1425,29.9,667.3082064,262.6652275,210.188681,34.34732732,31.95994496,2.811730554,5.41890627,0.63736824,1.380754068,0.004780812,0.156655134,0.131188977,0.776639875,0.031284842,0.123194921,26.97624291,-1.638961642,0.91529433,-31.10504809,2.429975161,1.495628113,33.50590485,0.999808,0.000192
