"Family","PC1","PC2","PC3","PC4","Pop","Tree","State","Region","Date","Latitude","Longitude","Elevation","DBH","Budbreak_2020","BudSet_2019","BudSet_2020","Growth","BudBreak_cGDD_plasticity","BudSet_2019_plasticity","BudSet_2020_plasticity","Growth_plasticity","TotalDry_plasticity","RootShoot_plasticity","SideBranch_MainStem_plasticity","Delta13Carbon_plasticity","Delta15Nitrogen_plasticity","PercentN_plasticity","CN_ratio_plasticity","TotalDry","RootShoot","SideBranch_MainStem","delta13C","delta15N","percentN","CN_ratio","q1","q2"
"BAL_04",0.0459761751412052,0.0201256929752764,-0.0916713456695338,-0.0398146628256646,"BAL",4,"NY","Core",8302017,44.15409,73.65688,670,26.7,659.7477779,258.3803172,209.6167143,30.72895272,28.35717282,2.592224279,5.620845682,0.840948462,1.488140222,0.001269753,0.129378575,0.041223066,0.614110561,0.04389934,0.036691685,28.9421848,-1.652926017,0.801464671,-30.83972761,2.841825546,1.606839325,31.08353527,0.9385409,0.0614591
"BAL_05",0.0561280997663749,0.0259277578329842,-0.0242853832914526,0.00110928236360281,"BAL",5,"NY","Core",8302017,44.15415,73.65799,698,22,635.2280734,250.2505417,210.889224,32.80795636,18.05342525,2.793545849,5.89728725,0.728120569,2.027087485,0.005778997,0.146467107,0.026577773,0.666723289,0.047080293,0.032169414,36.63214191,-1.588538182,0.847835208,-30.86382322,2.7209339,1.657007552,30.84144126,0.9358732,0.0641268
"BAL_10",0.0486355210929331,0.0647150941925512,-0.015412624366099,-0.0165840212590694,"BAL",10,"NY","Core",8302017,44.16008,73.66681,918,6.7,641.4073582,251.6537933,207.623166,26.89979147,22.03693989,3.686962546,5.690251557,1.107883797,1.098704261,0.001338705,0.149524013,0.080991219,0.724102113,0.038318142,0.049405049,22.58159728,-1.642232233,0.895412216,-31.05336858,2.484997509,1.581580552,31.30615723,0.9896966,0.0103034
"BBE_01",0.0463623557685614,0.0269950501276136,0.0256118616948615,0.00227092674716313,"BBE",1,"NH","Core",10132017,43.83596,71.55484,365,30.5,659.7767728,258.3141687,206.3699216,25.2512759,27.76432216,3.952297097,5.543108813,1.194573466,0.98354211,0.025944797,0.134613402,0.021952021,0.750117331,0.031635292,0.085131888,21.67914285,-1.555749902,0.819446536,-30.94006924,2.522308708,1.516809274,32.34993143,0.9505802,0.0494198
"BBE_02",0.0447606145879522,-0.0129798253975218,0.0391042008517576,0.0076761026377698,"BBE",2,"NH","Core",10132017,43.83457,71.54906,368,24.1,673.1246379,258.6426557,210.2247862,26.79302892,34.40820878,3.306699482,6.208527527,1.106129778,0.670424299,0.006336035,0.172900945,0.061212361,0.769111673,0.039928067,0.078378694,16.76817634,-1.630630122,0.963751281,-30.7968329,2.453558975,1.567939175,32.27064979,0.9039999,0.0960001
"BBE_03",0.0398179854505971,-0.00153559767153586,0.0237602326377438,0.0103592148423763,"BBE",3,"NH","Core",10142017,43.83484,71.53966,373,25.4,645.6396903,246.3725644,211.4426137,26.6734762,24.18747626,3.747533101,5.884476309,1.102552797,1.100165257,0.012166587,0.142849909,0.051604852,0.689584628,0.055384375,0.031501279,22.35855517,-1.655383461,0.856373907,-30.95181878,2.62422066,1.724905031,29.06487038,0.9110097,0.0889904
"BBE_04",0.0583841424300823,0.0180134111339298,0.0442123179145198,-0.000684454425645581,"BBE",4,"NH","Core",10142017,43.83367,71.53963,383,23.5,672.7947991,263.2540567,213.5888736,32.35948981,34.66697295,2.517248069,5.79826242,0.761968893,1.17140037,0.00440996,0.125703708,0.081216567,0.738052204,0.034683088,0.100548169,25.01697692,-1.636363203,0.796522775,-30.64421138,2.510845081,1.529534861,32.83518064,0.9129725,0.0870275
"BBE_05",0.0469290137798046,0.0400578654555821,-0.0753047744029781,-0.0301361343141507,"BBE",5,"NH","Core",10142017,43.83176,71.54305,374,29,670.3831188,252.6196014,205.9246386,27.83043182,30.4927564,4.162851567,5.441718509,1.056796438,1.32350264,0.012007742,0.132523898,0.125453577,0.699686157,0.028816995,0.121486341,26.71057245,-1.593877328,0.829274346,-31.05297245,2.526229757,1.479248056,33.46088793,0.9411673,0.0588327
"BER_01",0.0509357417983783,0.0190327927172245,-0.0391878989398807,-0.0357047106931618,"BER",1,"ME","Core",11262017,44.69079,70.37595,481,7.6,653.2847703,245.3731142,207.0320371,28.01825324,25.99448631,4.019385475,5.281365969,1.032549112,1.263660905,0.003426021,0.152702178,0.055178206,0.783112529,0.0463512,0.028942938,25.85159265,-1.631065225,0.883678101,-30.93907616,2.450249608,1.618183624,30.92880605,0.9324085,0.0675915
"BER_02",0.0549725373541004,-0.000464339504498752,-0.024361078033549,-0.0128548798435445,"BER",2,"ME","Core",11262017,44.69043,70.37637,487,11.1,651.8259326,260.1291604,205.799147,23.57791145,23.48503528,4.470897993,5.392944824,1.311568616,0.612879239,0.008014496,0.144619354,0.093411485,0.775101568,0.046553268,0.014902692,15.44030101,-1.633179759,0.844416644,-31.06904267,2.484409637,1.647518721,30.36152259,0.8995681,0.1004319
"BER_03",0.0413354881014547,-0.0050241110294993,-0.0497974014184742,0.00734404024098016,"BER",3,"ME","Core",11262017,44.68987,70.37686,482,9,671.4345901,258.4419491,213.4642149,35.23024945,32.26476478,3.78324507,6.036633266,0.58818922,1.168701544,0.008357954,0.100380017,0.07869814,0.742088571,0.0427175,0.029876822,23.45903757,-1.571906975,0.69629416,-30.96327868,2.376096512,1.611765184,30.85285815,0.8782226,0.1217774
"BER_04",0.0489198078456855,0.0192406978952544,-0.0492988318947847,-0.0163285797634426,"BER",4,"ME","Core",11262017,44.68953,70.37609,487,4.5,671.285036,243.3318696,208.2386894,27.18940889,30.71612636,3.877647205,6.181176901,1.071081188,1.408937845,0.011750659,0.132977723,0.034194633,0.63929005,0.030375623,0.105728262,27.41769721,-1.594240619,0.835209172,-30.85302331,2.717088065,1.500183449,32.95800462,0.9149997,0.0850003
"BER_05",0.0568487024441814,-0.0192904112779342,-0.024072687166608,-0.0153320986868963,"BER",5,"ME","Core",11262017,44.68899,70.37624,492,8,629.016699,268.2450126,211.3715138,30.8947216,17.24235003,2.861365961,5.980592008,0.867496218,1.155495532,0.002887942,0.126161496,0.001171047,0.810647244,0.047268801,0.024949637,23.37875908,-1.648443913,0.781379862,-30.86808827,2.26282373,1.639561824,30.75406323,0.8707259,0.1292741
